tumor_nodular,tumor_infiltrative,stroma_nodular,stroma_infiltrative
MPPED1,THBS1,TXNIP,FN1
PTCH1,CCL2,SFRP1,COL1A1
KRT17,S100A9,CFD,COL3A1
SFRP1,KRT6A,,COL1A2
FGFR3,CD44,,COL5A1
CCND1,S100A7,,COMP
LAMA5,TNFRSF12A,,MMP11
TXNIP,VEGFA,,SPP1
DSP,JUNB,,COL6A3
PDGFA,SFN,,COL11A1
EPCAM,SOCS3,,TPM1
ID2,TPM1,,TPM4
WNT7B,,,SFRP2
NOTCH1,,,COL5A2
GADD45G,,,MMP1
DUSP10,,,SERPINH1
ACVR2A,,,ACTA2
BAP1,,,ACTB
ERBB2,,,IGFBP3
KRT5,,,CRABP2
APP,,,TNFRSF12A
DSC3,,,ADAM12
CTNNB1,,,TNC
TSHR,,,CREB3L1
ITPK1,,,FLNA
ANXA1,,,JUNB
RGMB,,,THY1
FZD7,,,CD276
BCL2,,,CD99
CXCL14,,,FAP
CALML3,,,LOXL2
COL27A1,,,PLAU
JAG1,,,P4HA2
EDN1,,,MIF
CREB5,,,VCAN
PRKX,,,GNAS
LEF1,,,PLAUR
LGR5,,,OLFML2B
TNFRSF25,,,ALDOA
DPP4,,,ITGAV
SOX9,,,TGFB3
SLC7A5,,,ITGB1
FGFR2,,,PKM
PRKAR1B,,,
GATA3,,,